"date","geography","geography code","Rural Urban","Ethnic Group: All usual residents; measures: Value","Ethnic Group: White; measures: Value","Ethnic Group: White: English/Welsh/Scottish/Northern Irish/British; measures: Value","Ethnic Group: White: Irish; measures: Value","Ethnic Group: White: Gypsy or Irish Traveller; measures: Value","Ethnic Group: White: Other White; measures: Value","Ethnic Group: Mixed/multiple ethnic groups; measures: Value","Ethnic Group: Mixed/multiple ethnic groups: White and Black Caribbean; measures: Value","Ethnic Group: Mixed/multiple ethnic groups: White and Black African; measures: Value","Ethnic Group: Mixed/multiple ethnic groups: White and Asian; measures: Value","Ethnic Group: Mixed/multiple ethnic groups: Other Mixed; measures: Value","Ethnic Group: Asian/Asian British; measures: Value","Ethnic Group: Asian/Asian British: Indian; measures: Value","Ethnic Group: Asian/Asian British: Pakistani; measures: Value","Ethnic Group: Asian/Asian British: Bangladeshi; measures: Value","Ethnic Group: Asian/Asian British: Chinese; measures: Value","Ethnic Group: Asian/Asian British: Other Asian; measures: Value","Ethnic Group: Black/African/Caribbean/Black British; measures: Value","Ethnic Group: Black/African/Caribbean/Black British: African; measures: Value","Ethnic Group: Black/African/Caribbean/Black British: Caribbean; measures: Value","Ethnic Group: Black/African/Caribbean/Black British: Other Black; measures: Value","Ethnic Group: Other ethnic group; measures: Value","Ethnic Group: Other ethnic group: Arab; measures: Value","Ethnic Group: Other ethnic group: Any other ethnic group; measures: Value"
"2011","Darlington","E06000005","Total",105564,101595,98898,328,350,2019,1146,463,97,350,236,2205,726,145,523,349,462,357,206,105,46,261,112,149
"2011","County Durham","E06000047","Total",513242,503769,495664,1229,467,6409,3094,969,321,1093,711,4856,1368,463,241,1598,1186,701,447,158,96,822,459,363
"2011","Hartlepool","E06000001","Total",92028,89899,88924,193,40,742,550,180,54,173,143,1304,266,291,214,229,304,170,129,36,5,105,57,48
"2011","Middlesbrough","E06000002","Total",138412,122055,119106,574,85,2290,2362,541,452,904,465,10768,1477,6811,244,904,1332,1731,1470,92,169,1496,950,546
"2011","Northumberland","E06000057","Total",316028,311066,307097,833,156,2980,1692,515,230,624,323,2658,939,351,295,452,621,338,193,114,31,274,73,201
"2011","Redcar and Cleveland","E06000003","Total",135177,133203,131928,415,85,775,853,298,107,273,175,869,91,295,94,155,234,122,80,34,8,130,37,93
"2011","Stockton-on-Tees","E06000004","Total",191610,181299,178965,536,143,1655,1997,419,316,823,439,6632,1488,3072,132,866,1074,1133,936,84,113,549,236,313
"2011","Gateshead","E08000037","Total",200214,192742,188355,592,87,3708,1558,412,260,523,363,3738,916,617,242,1054,909,1081,903,90,88,1095,289,806
"2011","Newcastle upon Tyne","E08000021","Total",280177,239533,229520,1826,163,8024,4279,830,859,1609,981,27107,5072,6364,4692,6037,4942,5160,4664,217,279,4098,2602,1496
"2011","North Tyneside","E08000022","Total",200801,194025,190936,596,29,2464,1815,448,385,602,380,3815,1095,319,686,869,846,734,576,91,67,412,177,235
"2011","South Tyneside","E08000023","Total",148127,142099,140821,305,9,964,1325,324,229,440,332,3311,643,434,1534,235,465,420,316,61,43,972,566,406
"2011","Sunderland","E08000024","Total",275506,264282,261209,608,70,2395,1778,539,239,608,392,7336,1736,669,2075,1536,1320,1273,1062,111,100,837,292,545
"2011","Blackburn with Darwen","E06000008","Total",147489,102009,98144,794,161,2910,1823,315,162,989,357,41494,19791,17801,1525,721,1656,933,614,202,117,1230,585,645
"2011","Blackpool","E06000009","Total",142065,137339,133042,1029,237,3031,1753,690,264,448,351,2282,627,223,231,514,687,346,183,111,52,345,170,175
"2011","Cheshire East","E06000049","Total",370127,357940,346264,2241,313,9122,3873,1341,461,1293,778,6060,2147,856,504,1125,1428,1402,664,511,227,852,338,514
"2011","Cheshire West and Chester","E06000050","Total",329608,321025,312013,2337,213,6462,3050,889,411,1059,691,4097,1242,336,576,935,1008,908,586,196,126,528,199,329
"2011","Halton","E06000006","Total",125746,123041,121210,654,41,1136,1356,465,253,330,308,943,282,44,60,308,249,260,95,134,31,146,54,92
"2011","Warrington","E06000007","Total",202228,193992,187968,1357,66,4601,2144,654,357,663,470,4911,1803,1179,152,849,928,694,389,214,91,487,237,250
"2011","Cumbria","E10000006","Total",499858,492257,482124,1552,315,8266,2504,751,314,881,558,4066,892,316,486,1153,1219,579,373,141,65,452,153,299
"2011","Bolton","E08000001","Total",276786,226645,219794,1694,214,4943,4892,1576,678,1826,812,38749,21665,12026,614,1423,3021,4652,3451,608,593,1848,727,1121
"2011","Bury","E08000002","Total",185060,165032,157897,2357,72,4706,3365,1307,444,1005,609,13407,1387,9002,311,1100,1607,1893,1116,593,184,1363,465,898
"2011","Manchester","E08000003","Total",503127,335109,298237,11843,509,24520,23161,8877,4397,4791,5096,85986,11417,42904,6437,13539,11689,43484,25718,9642,8124,15387,9503,5884
"2011","Oldham","E08000004","Total",224897,174326,169955,1484,62,2825,4057,1950,440,1131,536,43165,1555,22686,16310,726,1888,2797,1640,839,318,552,154,398
"2011","Rochdale","E08000005","Total",211699,172874,166481,2131,186,4076,3569,1057,601,1348,563,31630,1105,22265,4342,948,2970,2770,2131,285,354,856,308,548
"2011","Salford","E08000006","Total",233933,210862,197445,2882,193,10342,4616,1647,1058,929,982,9429,2553,1843,605,2547,1881,6541,5354,666,521,2485,1425,1060
"2011","Stockport","E08000007","Total",283275,260819,252044,3938,58,4779,5104,1734,775,1460,1135,13762,2786,6673,705,1722,1876,1958,976,745,237,1632,727,905
"2011","Tameside","E08000008","Total",219324,199429,194115,1613,38,3663,3159,1310,506,849,494,14553,3668,4910,4296,951,728,1784,1188,371,225,399,154,245
"2011","Trafford","E08000009","Total",226578,193834,182200,5098,40,6496,6031,2658,669,1535,1169,17973,6306,7027,457,2232,1951,6540,1807,3802,931,2200,1259,941
"2011","Wigan","E08000010","Total",317849,309193,303519,1459,151,4064,2756,1015,429,783,529,3519,1019,676,109,891,824,1678,1310,216,152,703,304,399
"2011","Lancashire","E10000017","Total",1171339,1080687,1050340,7125,821,22401,12724,4573,1279,4571,2301,71054,19212,36103,5811,4811,5117,4098,1891,1789,418,2776,1387,1389
"2011","Knowsley","E08000011","Total",145893,141858,140135,747,6,970,1913,683,517,375,338,1403,467,81,10,446,399,505,297,127,81,214,98,116
"2011","Liverpool","E08000012","Total",466415,414671,395485,6729,185,12272,11756,3473,3164,2283,2836,19403,4915,1999,1075,7978,3436,12308,8490,1467,2351,8277,5629,2648
"2011","Sefton","E08000014","Total",273790,266741,259629,2312,120,4680,2820,830,488,760,742,2719,666,127,308,965,653,796,464,223,109,714,327,387
"2011","St. Helens","E08000013","Total",175308,171877,169346,887,69,1575,1179,445,167,271,296,1764,504,133,122,512,493,248,152,60,36,240,117,123
"2011","Wirral","E08000015","Total",319783,310156,303682,2667,77,3730,3286,964,558,949,815,5116,1344,226,851,1653,1042,695,389,189,117,530,208,322
"2011","East Riding of Yorkshire","E06000011","Total",334179,327789,321309,908,227,5345,2301,683,367,785,466,2961,1081,396,69,660,755,598,355,175,68,530,289,241
"2011","Kingston upon Hull, City of","E06000010","Total",256406,241321,229920,550,284,10567,3454,871,821,945,817,6471,1086,882,755,2124,1624,2996,2472,236,288,2164,1134,1030
"2011","North East Lincolnshire","E06000012","Total",159616,155421,152240,414,26,2741,1186,381,161,369,275,2129,513,195,268,605,548,411,306,71,34,469,265,204
"2011","North Lincolnshire","E06000013","Total",167446,160748,154526,727,90,5405,1244,341,166,451,286,4549,1122,862,1443,530,592,494,365,64,65,411,173,238
"2011","York","E06000014","Total",198051,186731,178613,1103,269,6746,2413,529,305,873,706,6740,1531,417,370,2449,1973,1194,903,205,86,973,498,475
"2011","North Yorkshire","E10000023","Total",598376,582475,565055,2381,588,14451,5043,1315,662,1821,1245,7356,1631,894,275,1733,2823,2424,1428,372,624,1078,357,721
"2011","Barnsley","E08000016","Total",231221,226285,222164,567,163,3391,1630,644,178,434,374,1661,442,211,60,440,508,1221,995,149,77,424,168,256
"2011","Doncaster","E08000017","Total",302402,288066,277740,1183,587,8556,3321,1413,440,877,591,7614,1865,2728,117,1121,1783,2337,1309,778,250,1064,231,833
"2011","Rotherham","E08000018","Total",257280,240758,236438,776,126,3418,2551,787,301,865,598,10551,961,7609,109,592,1280,2112,1672,283,157,1308,581,727
"2011","Sheffield","E08000019","Total",552698,462544,446837,2891,358,12458,13289,5450,1296,3490,3053,44385,5868,21990,3326,7398,5803,20082,11543,5506,3033,12398,8432,3966
"2011","Bradford","E08000032","Total",522452,352317,333628,2541,433,15715,12979,4663,875,5677,1764,140149,13555,106614,9863,2086,8031,9267,4993,3581,693,7740,3714,4026
"2011","Calderdale","E08000033","Total",203826,182787,176732,1795,80,4180,2797,1097,247,907,546,16875,1130,13904,574,459,808,899,479,320,100,468,111,357
"2011","Kirklees","E08000034","Total",422458,334270,323890,2635,158,7587,9790,5167,641,2714,1268,67782,20797,41802,731,1452,3000,7905,2364,4626,915,2711,1214,1497
"2011","Leeds","E08000035","Total",751485,639487,609714,7031,687,22055,19632,8813,2493,4906,3420,58243,16130,22492,4432,5933,9256,25893,14894,6728,4271,8230,3791,4439
"2011","Wakefield","E08000036","Total",325837,310957,302331,908,302,7416,2928,1087,368,894,579,8498,1540,4896,32,853,1177,2512,1955,326,231,942,382,560
"2011","Derby","E06000015","Total",248752,199751,187386,2319,295,9751,7232,3916,533,1772,1011,31095,10907,14620,658,1292,3618,7320,3156,3405,759,3354,861,2493
"2011","Leicester","E06000016","Total",329839,166636,148629,2524,417,15066,11580,4691,1161,3388,2340,122470,93335,8067,3642,4245,13181,20585,12480,4790,3315,8568,3311,5257
