Economic Activity:,All persons,,,,,,,,,,,,,,,,,,
Area,code,2012,rate,2013,rate,2014,rate,2015,rate,2016,rate,2017,rate,2018,rate,2019,rate,2021,2021pred
country:England and Wales,K04000001,45335992,-,45658841,-,46022183,-,46387737,-,46702359,-,46955842,-,47213538,-,47554741,-,48040816,47457054
gor:North East,E12000001,2111539,-,2118858,-,2124769,-,2131027,-,2138022,-,2141516,-,2144119,-,2133956,-,2154029,2092307
gor:North West,E12000002,5680935,-,5698110,-,5723181,-,5755001,-,5782588,-,5797989,-,5809784,-,5891502,-,5968152,5717813
gor:Yorkshire and The Humber,E12000003,4258996,-,4275666,-,4295268,-,4319495,-,4340365,-,4354587,-,4367610,-,4375410,-,4411929,4319059
gor:East Midlands,E12000004,3677056,-,3705179,-,3737668,-,3772119,-,3807850,-,3830941,-,3843585,-,3902669,-,3948203,3805557
gor:West Midlands,E12000005,4489858,-,4517662,-,4549143,-,4585904,-,4625778,-,4651218,-,4666548,-,4703674,-,4753105,4564019
gor:East,E12000006,4731953,-,4774345,-,4821677,-,4861962,-,4893557,-,4923229,-,4957365,-,5023498,-,5095684,4962464
gor:London,E12000007,6609804,-,6690387,-,6782008,-,6867837,-,6924520,-,6988170,-,7076856,-,7073026,-,7060711,7117682
gor:South East,E12000008,6959009,-,7017700,-,7080787,-,7140319,-,7190935,-,7231941,-,7278564,-,7351970,-,7453233,7258764
gor:South West,E12000009,4328884,-,4363436,-,4401747,-,4439561,-,4473265,-,4500636,-,4523884,-,4591367,-,4666181,4536774
gor:Wales,W92000004,2487958,-,2497498,-,2505935,-,2514512,-,2525479,-,2535615,-,2545223,-,2507669,-,2529589,2414986
Economic Activity:,Total economically active,,,,,,,,,,,,,,,,,,
Area,code,2012,rate,2013,rate,2014,rate,2015,rate,2016,rate,2017,rate,2018,rate,2019,rate,2021,2021pred
country:England and Wales,K04000001,28882311,63.7,29022827,63.6,29176654,63.4,29543103,63.7,29773055,63.8,29969991,63.8,30291964,64.2,30706707,64.6,30573860,30639412
gor:North East,E12000001,1264157,59.9,1266315,59.8,1279519,60.2,1309201,61.4,1279790,59.9,1284533,60,1280324,59.7,1270762,59.5,1251254,1253777
gor:North West,E12000002,3518222,61.9,3453832,60.6,3523663,61.6,3566386,62,3584862,62,3560637,61.4,3634517,62.6,3746873,63.6,3677757,3618932
gor:Yorkshire and The Humber,E12000003,2666975,62.6,2695436,63,2671118,62.2,2684677,62.2,2718392,62.6,2675780,61.4,2729828,62.5,2688721,61.5,2674860,2669167
gor:East Midlands,E12000004,2305667,62.7,2327459,62.8,2369368,63.4,2357194,62.5,2401449,63.1,2394197,62.5,2425089,63.1,2534609,64.9,2462724,2444459
gor:West Midlands,E12000005,2834729,63.1,2785708,61.7,2780537,61.1,2783999,60.7,2877225,62.2,2871577,61.7,2899922,62.1,2968047,63.1,2993605,2862452
gor:East,E12000006,3078336,65.1,3093702,64.8,3102778,64.4,3159865,65,3147704,64.3,3174266,64.5,3194086,64.4,3279862,65.3,3306695,3217115
gor:London,E12000007,4463544,67.5,4543834,67.9,4613037,68,4717952,68.7,4768759,68.9,4829772,69.1,4889059,69.1,4920858,69.6,4928665,4974810
gor:South East,E12000008,4553581,65.4,4607595,65.7,4614648,65.2,4642666,65,4678336,65.1,4778923,66.1,4745230,65.2,4873992,66.3,4847655,4800458
gor:South West,E12000009,2706211,62.5,2740258,62.8,2744370,62.3,2815817,63.4,2811224,62.8,2878848,64,2897237,64,2924983,63.7,2929834,2928968
gor:Wales,W92000004,1490889,59.9,1508687,60.4,1477616,59,1505345,59.9,1505315,59.6,1521459,60,1596671,62.7,1497999,59.7,1500811,1473297
Economic Activity:,Total in employment,,,,,,,,,,,,,,,,,,
Area,code,2012,rate,2013,rate,2014,rate,2015,rate,2016,rate,2017,rate,2018,rate,2019,rate,2021,2021pred
country:England and Wales,K04000001,26619507,58.7,26927052,59,27504754,59.8,28064737,60.5,28366268,60.7,28665007,61,29058896,61.5,29538974,62.1,29245908,29745537
gor:North East,E12000001,1141051,54,1139767,53.8,1177373,55.4,1204422,56.5,1191654,55.7,1217161,56.8,1211360,56.5,1193220,55.9,1181559,1191476
gor:North West,E12000002,3226642,56.8,3180525,55.8,3294956,57.6,3392777,59,3403824,58.9,3412349,58.9,3491379,60.1,3591484,61,3514095,3528357
gor:Yorkshire and The Humber,E12000003,2424862,56.9,2459718,57.5,2503617,58.3,2516788,58.3,2583371,59.5,2541278,58.4,2587567,59.2,2569666,58.7,2565091,2569090
gor:East Midlands,E12000004,2130870,58,2170524,58.6,2258809,60.4,2253312,59.7,2290161,60.1,2295459,59.9,2303915,59.9,2444547,62.6,2359770,2358218
