x,y,year,geography code,geography,Ethnic Total,White,Mixed,Asian,Black,Other,Economic Total,Economically active,Economically active: In employment,Economically active: Unemployed,Economically inactive
15.021822,4.759676,2011,E06000001,Hartlepool,92028,89899,550,1304,170,105,66804,43513,36532,6981,23291
15.355503,3.4913156,2011,E06000002,Middlesbrough,138412,122055,2362,10768,1731,1496,100551,63582,51535,12047,36969
14.87558,3.7104328,2011,E06000003,Redcar and Cleveland,135177,133203,853,869,122,130,99177,63530,54558,8972,35647
14.380466,2.2740695,2011,E06000004,Stockton-on-Tees,191610,181299,1997,6632,1133,549,140654,96259,83938,12321,44395
15.196974,4.5005307,2011,E06000005,Darlington,105564,101595,1146,2205,357,261,76635,53443,47487,5956,23192
15.076397,3.9553926,2011,E06000006,Halton,125746,123041,1356,943,260,146,92708,63411,55741,7670,29297
14.009884,2.064998,2011,E06000007,Warrington,202228,193992,2144,4911,694,487,149461,107765,97274,10491,41696
14.35663,3.1453502,2011,E06000008,Blackburn with Darwen,147489,102009,1823,41494,933,1230,104417,67033,58129,8904,37384
14.99655,3.5240777,2011,E06000009,Blackpool,142065,137339,1753,2282,346,345,103813,68540,59026,9514,35273
13.0137825,0.8853897,2011,E06000010,"Kingston upon Hull, City of",256406,241321,3454,6471,2996,2164,190610,128130,105890,22240,62480
10.34893,1.0573057,2011,E06000011,East Riding of Yorkshire,334179,327789,2301,2961,598,530,245594,168860,153451,15409,76734
14.779997,3.1058671,2011,E06000012,North East Lincolnshire,159616,155421,1186,2129,411,469,115823,79227,68609,10618,36596
14.710375,2.9510343,2011,E06000013,North Lincolnshire,167446,160748,1244,4549,494,411,122329,84668,75915,8753,37661
14.3585415,2.0115368,2011,E06000014,York,198051,186731,2413,6740,1194,973,149789,104945,91847,13098,44844
15.013557,0.42635673,2011,E06000015,Derby,248752,199751,7232,31095,7320,3354,179291,123691,106946,16745,55600
9.386103,-1.5765071,2011,E06000016,Leicester,329839,166636,11580,122470,20585,8568,242232,156425,128142,28283,85807
13.857073,5.5742426,2011,E06000017,Rutland,37369,36301,389,365,251,63,27052,18758,17509,1249,8294
10.669824,-1.3869976,2011,E06000018,Nottingham,305680,218698,20265,40039,22185,4493,232072,142327,112861,29466,89745
14.152605,2.5924344,2011,E06000019,"Herefordshire, County of",183477,180169,1270,1439,331,268,133442,95114,87590,7524,38328
14.947367,2.8736632,2011,E06000020,Telford and Wrekin,166641,154415,2983,6991,1779,473,122279,84947,75685,9262,37332
13.972218,0.97185963,2011,E06000021,Stoke-on-Trent,249008,220712,4491,18442,3741,1622,182808,119743,103269,16474,63065
14.781881,2.6054237,2011,E06000022,Bath and North East Somerset,176016,166473,2898,4577,1326,742,130550,89752,79491,10261,40798
8.155014,0.24231437,2011,E06000023,"Bristol, City of",428234,359592,15438,23655,25734,3815,321506,227119,197915,29204,94387
13.905014,2.1816504,2011,E06000024,North Somerset,202566,197076,2033,2436,632,389,145352,102607,94139,8468,42745
12.664209,1.0642557,2011,E06000025,South Gloucestershire,262767,249574,3667,6440,2218,868,192468,143198,131089,12109,49270
12.838236,1.0847319,2011,E06000026,Plymouth,256384,246509,3287,3906,1678,1004,191786,127742,110706,17036,64044
15.048426,3.9037452,2011,E06000027,Torbay,130959,127699,1420,1353,251,236,94000,61795,55066,6729,32205
14.960735,2.228628,2011,E06000028,Bournemouth,183491,168797,4191,7066,1764,1673,137574,96017,83404,12613,41557
15.008738,3.478909,2011,E06000029,Poole,147645,141523,1916,3276,520,410,106391,75720,69143,6577,30671
14.254274,1.7472551,2011,E06000030,Swindon,209156,187898,4226,13365,2861,806,154080,117039,106110,10929,37041
15.201749,2.2428792,2011,E06000031,Peterborough,183631,151544,4948,21492,4164,1483,132318,95646,85370,10276,36672
13.9329815,0.29853076,2011,E06000032,Luton,203201,111079,8281,60952,19909,2980,145208,100272,83876,16396,44936
15.098108,2.693537,2011,E06000033,Southend-on-Sea,173658,159023,3651,6440,3647,897,125007,88324,78722,9602,36683
15.392721,2.9671872,2011,E06000034,Thurrock,157705,135429,3099,5927,12323,927,114124,84464,75151,9313,29660
13.9305725,0.7480728,2011,E06000035,Medway,263925,236579,5176,13615,6663,1892,194158,137954,121925,16029,56204
15.285708,4.258787,2011,E06000036,Bracknell Forest,113205,102554,2303,5664,2189,495,83116,65137,59995,5142,17979
14.837084,3.2558756,2011,E06000037,West Berkshire,153822,145854,2420,3808,1376,364,112054,85401,79342,6059,26653
15.333593,2.5349452,2011,E06000038,Reading,155698,116387,6180,21161,10470,1500,116808,86329,75175,11154,30479
13.782112,2.4129362,2011,E06000039,Slough,140205,64053,4758,55697,12115,3582,100458,73819,64422,9397,26639
15.332776,3.4676712,2011,E06000040,Windsor and Maidenhead,144560,124505,3315,13848,1725,1167,104247,77650,71967,5683,26597
15.244786,3.2001255,2011,E06000041,Wokingham,154380,136525,3182,11438,2093,1142,112273,84912,78623,6289,27361
14.342424,0.33042085,2011,E06000042,Milton Keynes,248821,199094,8235,22782,17131,1579,181385,137717,123379,14338,43668
13.234928,0.12718683,2011,E06000043,Brighton and Hove,273369,243512,10408,11278,4188,3983,210792,150853,130732,20121,59939
14.830365,1.5204601,2011,E06000044,Portsmouth,205056,181182,5467,12474,3777,2156,153705,105834,89920,15914,47871
14.520346,0.7607027,2011,E06000045,Southampton,236882,203528,5678,19892,5067,2717,180201,123193,103902,19291,57008
14.940804,3.7059186,2011,E06000046,Isle of Wight,138265,134545,1709,1514,303,194,99747,64218,57634,6584,35529
5.3455844,1.8715106,2011,E06000047,County Durham,513242,503769,3094,4856,701,822,383796,247101,219826,27275,136695
9.730565,1.1945378,2011,E06000049,Cheshire East,370127,357940,3873,6060,1402,852,270953,191253,174859,16394,79700
10.623764,1.0117072,2011,E06000050,Cheshire West and Chester,329608,321025,3050,4097,908,528,243155,170778,153704,17074,72377
10.922719,0.9888085,2011,E06000051,Shropshire,306129,299874,2168,3089,580,418,223892,158983,146401,12582,64909
4.915233,1.7695187,2011,E06000052,Cornwall,532273,522848,4400,3434,762,829,388858,259484,235986,23498,129374
12.431826,5.6092405,2011,E06000053,Isles of Scilly,2203,2177,18,2,2,4,1622,1331,1306,25,291
6.5308747,1.6556507,2011,E06000054,Wiltshire,470981,454971,5568,6178,3228,1036,339595,250792,232126,18666,88803
15.341411,2.8616352,2011,E06000055,Bedford,157479,126846,5386,17932,6202,1113,113764,81782,72610,9172,31982
13.005093,1.0705075,2011,E06000056,Central Bedfordshire,254381,238722,4789,6402,3614,854,186658,139525,127845,11680,47133
10.644872,1.0305016,2011,E06000057,Northumberland,316028,311066,1692,2658,338,274,233224,158268,142811,15457,74956
14.899231,2.65786,2011,E07000004,Aylesbury Vale,174137,156079,3864,10105,3323,766,126740,95242,87978,7264,31498
15.051186,4.809514,2011,E07000005,Chiltern,92635,84749,2040,5046,524,276,65043,46743,43418,3325,18300
14.778138,5.265037,2011,E07000006,South Bucks,66867,56365,1607,7533,709,653,47802,34581,32159,2422,13221
15.123309,2.5672944,2011,E07000007,Wycombe,171644,139477,4849,20585,5934,799,124188,91315,82833,8482,32873
15.543071,3.6596951,2011,E07000008,Cambridge,123867,102205,3944,13618,2097,2003,98283,62886,54642,8244,35397
14.955659,4.9600315,2011,E07000009,East Cambridgeshire,83818,80673,1182,1215,506,242,60714,45920,42764,3156,14794
15.07268,4.7388816,2011,E07000010,Fenland,95262,92631,901,1075,497,158,69258,47829,43413,4416,21429
14.675731,2.8201232,2011,E07000011,Huntingdonshire,169508,160691,2530,4190,1642,455,125346,93481,86207,7274,31865
15.012775,3.40369,2011,E07000012,South Cambridgeshire,148755,138787,2524,5540,1268,636,107779,82079,76608,5471,25700
14.983551,4.700637,2011,E07000026,Allerdale,96422,95385,426,477,73,61,70978,48904,44833,4071,22074
14.71469,5.2074847,2011,E07000027,Barrow-in-Furness,69087,67940,360,633,70,84,51103,33897,30348,3549,17206
15.087162,4.4360065,2011,E07000028,Carlisle,107524,105480,535,1248,147,114,79531,57210,51767,5443,22321
14.72111,5.1783504,2011,E07000029,Copeland,70603,69491,339,629,84,60,52702,35335,32184,3151,17367
