x,y,year,geography code,geography,Ethnic Total,Asian,Black,Mixed,White,Other,Economic Total,Economically active,Economically active: In employment,Economically active: Unemployed,Economically inactive
-13.46303,10.748811,2021,E06000001,Hartlepool,92338,1600,445,671,89068,554,74685,40751,37749,3002,33934
-12.7295,11.623031,2021,E06000002,Middlesbrough,143922,15090,3816,3001,118547,3468,113939,62248,56433,5815,51691
-12.661976,11.34949,2021,E06000003,Redcar and Cleveland,136530,1160,265,1185,133388,532,112340,59624,55620,4004,52716
-11.393927,12.1608095,2021,E06000004,Stockton-on-Tees,196593,9052,2203,2737,180937,1664,158008,92342,86442,5900,65666
-13.282303,11.0526,2021,E06000005,Darlington,107796,2966,701,1472,101725,932,88103,52329,49296,3033,35774
-12.86929,11.286629,2021,E06000006,Halton,128478,1436,511,1791,123976,764,103948,62047,58706,3341,41901
-10.871628,12.214736,2021,E06000007,Warrington,210973,6954,1576,3335,197305,1803,172722,107975,103195,4780,64747
-11.631534,10.639727,2021,E06000008,Blackburn with Darwen,154741,55178,1406,2596,93392,2169,119509,68111,63558,4553,51398
-12.581284,11.481909,2021,E06000009,Blackpool,141039,3676,711,2210,133550,892,116338,64351,59361,4990,51987
-9.451966,12.6693125,2021,E06000010,"Kingston upon Hull, City of",267013,7515,5065,4513,244989,4931,213875,128155,117788,10367,85720
-7.6754136,12.561662,2021,E06000011,East Riding of Yorkshire,342215,3686,894,3197,333162,1276,288142,162798,156120,6678,125344
-12.27895,11.65576,2021,E06000012,North East Lincolnshire,156967,2437,846,1617,151030,1037,127521,73041,68850,4191,54480
-12.000564,11.8459215,2021,E06000013,North Lincolnshire,169684,5622,818,1820,160052,1372,139465,80446,76221,4225,59019
-11.037025,12.237023,2021,E06000014,York,202821,7634,1325,3741,188167,1954,172082,101232,96197,5035,70850
-9.694136,12.537681,2021,E06000015,Derby,261364,40901,10482,9562,192871,7548,209193,124347,116202,8145,84846
-5.2603755,7.4617887,2021,E06000016,Leicester,368571,159977,28766,13899,150657,15272,291012,169572,154932,14640,121440
-13.381741,9.573681,2021,E06000017,Rutland,41050,634,552,744,38909,211,34297,19425,18783,642,14872
-7.3864193,10.609012,2021,E06000018,Nottingham,323635,48217,32215,19063,213430,10710,264321,142935,128866,14069,121386
-11.363451,11.887305,2021,E06000019,"Herefordshire, County of",187032,2218,567,1980,181248,1019,157132,92163,88510,3653,64969
-11.605883,11.98935,2021,E06000020,Telford and Wrekin,185543,10067,5351,4844,163638,1643,148670,90380,85495,4885,58290
-10.09986,12.926854,2021,E06000021,Stoke-on-Trent,258369,25597,6884,5860,215699,4329,205899,119972,112580,7392,85927
-11.179522,11.9824095,2021,E06000022,Bath and North East Somerset,193409,6389,1846,5256,178308,1610,161616,94452,89810,4642,67164
-4.604754,9.1045885,2021,E06000023,"Bristol, City of",472467,31269,27890,21116,383142,9050,389708,252652,238510,14142,137056
-10.609287,12.09356,2021,E06000024,North Somerset,216729,3322,1139,3635,207429,1204,178567,106639,102702,3937,71928
-8.826022,12.641715,2021,E06000025,South Gloucestershire,290424,11094,4534,7289,264856,2651,237366,153466,147612,5854,83900
-9.600742,12.78891,2021,E06000026,Plymouth,264695,5947,2786,4656,248727,2579,218624,128144,121018,7126,90480
-12.578392,11.399568,2021,E06000027,Torbay,139324,2254,447,2084,133922,617,117030,62379,58935,3444,54651
-10.319284,12.36985,2021,E06000030,Swindon,233411,27173,6123,6495,190142,3478,187151,123902,117866,6036,63249
-10.813204,12.145273,2021,E06000031,Peterborough,215670,30801,8751,7617,162581,5920,167574,107102,100969,6133,60472
-8.8091755,9.952674,2021,E06000032,Luton,225261,83325,22735,9620,101798,7783,172695,107846,98718,9128,64849
-11.627092,11.924629,2021,E06000033,Southend-on-Sea,180685,9864,5153,5553,158079,2036,146410,88636,83259,5377,57774
-11.320597,11.351985,2021,E06000034,Thurrock,175993,12205,20877,5252,134984,2675,136364,91113,85948,5165,45251
-9.364193,12.798235,2021,E06000035,Medway,279773,16484,15723,7859,235747,3960,222755,140571,132604,7967,82184
-12.854372,11.20564,2021,E06000036,Bracknell Forest,124605,8879,2993,3843,107269,1621,99934,69400,66397,3003,30534
-12.007687,11.584929,2021,E06000037,West Berkshire,161447,5990,2030,3857,148384,1186,130737,85510,82308,3202,45227
-11.119883,11.296775,2021,E06000038,Reading,174223,30841,12532,8962,116886,5002,141357,94693,88864,5829,46664
-10.163414,9.594707,2021,E06000039,Slough,158500,74093,11992,6311,57134,8970,118933,79719,73699,6020,39214
-12.283762,11.575138,2021,E06000040,Windsor and Maidenhead,153497,20072,2358,5238,122551,3278,123676,80096,76302,3794,43580
-11.695505,11.747217,2021,E06000041,Wokingham,177502,22868,4306,5574,141851,2903,140821,93243,89467,3776,47578
-8.678846,11.779397,2021,E06000042,Milton Keynes,287060,35645,27851,11725,206114,5725,224835,151684,143379,8305,73151
-8.215151,11.821371,2021,E06000043,Brighton and Hove,277103,13217,5458,13228,236571,8629,235365,150125,139289,10836,85240
-10.943535,12.3403425,2021,E06000044,Portsmouth,208001,14370,7070,5487,177277,3797,170818,105376,97785,7591,65442
-9.900553,12.643544,2021,E06000045,Southampton,248920,26414,7539,8309,200829,5829,204369,126584,118228,8356,77785
-12.492153,11.374244,2021,E06000046,Isle of Wight,140459,1663,478,1720,136219,379,119584,61399,57909,3490,58185
-3.583886,8.196563,2021,E06000047,County Durham,522067,7834,1740,4949,505471,2073,433958,235484,222215,13269,198474
-6.6880546,12.55733,2021,E06000049,Cheshire East,398772,9531,2422,7059,376543,3217,329474,200289,192487,7802,129185
-7.547355,12.895692,2021,E06000050,Cheshire West and Chester,357149,7231,2107,5291,340361,2159,295358,177228,169088,8140,118130
-8.108396,12.721774,2021,E06000051,Shropshire,323607,4324,1117,3861,312876,1429,272245,158910,152422,6488,113335
-2.598765,6.2577133,2021,E06000052,Cornwall,570305,4032,1058,7030,552130,6055,477425,266622,254247,12375,210803
-12.622096,8.425605,2021,E06000053,Isles of Scilly,2055,6,4,23,2004,18,1729,1128,1113,15,601
-4.0778894,9.2136965,2021,E06000054,Wiltshire,510333,10876,5786,8709,481413,3549,419114,262075,252345,9730,157039
-11.141634,11.561816,2021,E06000055,Bedford,185224,23263,9848,8586,140174,3353,148118,95811,90865,4946,52307
-8.57707,12.380548,2021,E06000056,Central Bedfordshire,294251,10321,7018,8885,265545,2482,236760,157292,151077,6215,79468
-8.121497,12.594642,2021,E06000057,Northumberland,320566,3374,598,2557,313027,1010,268850,148602,140780,7822,120248
-6.65422,12.773911,2021,E06000058,"Bournemouth, Christchurch and Poole",400195,13551,4233,11093,365510,5808,334908,197215,186030,11185,137693
-6.8067265,12.194008,2021,E06000059,Dorset,379580,4305,1082,4436,368415,1342,321900,174681,167777,6904,147219
-3.3852248,7.6389203,2021,E06000060,Buckinghamshire,553078,68318,14269,19570,442164,8757,443394,285487,273235,12252,157907
-7.6018596,12.885371,2021,E06000061,North Northamptonshire,359523,12726,11017,8175,324664,2941,289187,186661,178857,7804,102526
-6.1781387,11.911039,2021,E06000062,West Northamptonshire,425723,22463,20661,12116,365758,4725,343503,226381,215996,10385,117122
-12.077698,11.302693,2021,E07000008,Cambridge,145674,21626,3561,7410,108570,4507,124765,74213,70598,3615,50552
-13.376284,10.588466,2021,E07000009,East Cambridgeshire,87763,1688,705,1883,82912,575,71429,46215,44695,1520,25214
