x,y,year,geography code,geography,Ethnic Total,Asian,Black,Mixed,White,Other,Economic Total,Economically active,Economically active: In employment,Economically active: Unemployed,Economically inactive
11.687075,11.050665,2021,E06000001,Hartlepool,92338,1600,445,671,89068,554,74685,40751,37749,3002,33934
5.6056848,10.960889,2021,E06000002,Middlesbrough,143922,15090,3816,3001,118547,3468,113939,62248,56433,5815,51691
5.873546,12.567439,2021,E06000003,Redcar and Cleveland,136530,1160,265,1185,133388,532,112340,59624,55620,4004,52716
2.9313986,11.567831,2021,E06000004,Stockton-on-Tees,196593,9052,2203,2737,180937,1664,158008,92342,86442,5900,65666
10.082681,11.164948,2021,E06000005,Darlington,107796,2966,701,1472,101725,932,88103,52329,49296,3033,35774
7.8623543,12.311954,2021,E06000006,Halton,128478,1436,511,1791,123976,764,103948,62047,58706,3341,41901
2.763391,11.571017,2021,E06000007,Warrington,210973,6954,1576,3335,197305,1803,172722,107975,103195,4780,64747
5.0036535,10.303085,2021,E06000008,Blackburn with Darwen,154741,55178,1406,2596,93392,2169,119509,68111,63558,4553,51398
5.844265,12.159342,2021,E06000009,Blackpool,141039,3676,711,2210,133550,892,116338,64351,59361,4990,51987
0.97836083,11.265762,2021,E06000010,"Kingston upon Hull, City of",267013,7515,5065,4513,244989,4931,213875,128155,117788,10367,85720
-0.408626,11.304003,2021,E06000011,East Riding of Yorkshire,342215,3686,894,3197,333162,1276,288142,162798,156120,6678,125344
5.0232315,12.2500925,2021,E06000012,North East Lincolnshire,156967,2437,846,1617,151030,1037,127521,73041,68850,4191,54480
4.233852,12.41271,2021,E06000013,North Lincolnshire,169684,5622,818,1820,160052,1372,139465,80446,76221,4225,59019
2.801666,11.511944,2021,E06000014,York,202821,7634,1325,3741,188167,1954,172082,101232,96197,5035,70850
1.2430263,10.29084,2021,E06000015,Derby,261364,40901,10482,9562,192871,7548,209193,124347,116202,8145,84846
0.27713194,8.688753,2021,E06000016,Leicester,368571,159977,28766,13899,150657,15272,291012,169572,154932,14640,121440
14.59129,8.609511,2021,E06000017,Rutland,41050,634,552,744,38909,211,34297,19425,18783,642,14872
0.19592924,9.393511,2021,E06000018,Nottingham,323635,48217,32215,19063,213430,10710,264321,142935,128866,14069,121386
3.8855658,12.293947,2021,E06000019,"Herefordshire, County of",187032,2218,567,1980,181248,1019,157132,92163,88510,3653,64969
3.2760108,10.921362,2021,E06000020,Telford and Wrekin,185543,10067,5351,4844,163638,1643,148670,90380,85495,4885,58290
1.3694711,10.800326,2021,E06000021,Stoke-on-Trent,258369,25597,6884,5860,215699,4329,205899,119972,112580,7392,85927
3.0740352,11.196379,2021,E06000022,Bath and North East Somerset,193409,6389,1846,5256,178308,1610,161616,94452,89810,4642,67164
-1.0265641,10.224096,2021,E06000023,"Bristol, City of",472467,31269,27890,21116,383142,9050,389708,252652,238510,14142,137056
2.7044172,11.588518,2021,E06000024,North Somerset,216729,3322,1139,3635,207429,1204,178567,106639,102702,3937,71928
0.50534236,11.058203,2021,E06000025,South Gloucestershire,290424,11094,4534,7289,264856,2651,237366,153466,147612,5854,83900
0.9177177,11.40102,2021,E06000026,Plymouth,264695,5947,2786,4656,248727,2579,218624,128144,121018,7126,90480
5.910216,12.598002,2021,E06000027,Torbay,139324,2254,447,2084,133922,617,117030,62379,58935,3444,54651
2.049384,10.540385,2021,E06000030,Swindon,233411,27173,6123,6495,190142,3478,187151,123902,117866,6036,63249
2.2409973,10.21863,2021,E06000031,Peterborough,215670,30801,8751,7617,162581,5920,167574,107102,100969,6133,60472
1.3621744,9.430022,2021,E06000032,Luton,225261,83325,22735,9620,101798,7783,172695,107846,98718,9128,64849
3.3372045,10.953856,2021,E06000033,Southend-on-Sea,180685,9864,5153,5553,158079,2036,146410,88636,83259,5377,57774
3.3481903,10.606312,2021,E06000034,Thurrock,175993,12205,20877,5252,134984,2675,136364,91113,85948,5165,45251
