x,y,geography code,year
9.749855,10.229417,E06000005,2011
0.6967992,2.8922634,E06000047,2011
11.200422,10.519118,E06000001,2011
3.8037336,8.781684,E06000002,2011
1.2318095,2.5708814,E06000057,2011
4.5253057,9.385006,E06000003,2011
2.7207663,5.438251,E06000004,2011
2.799158,5.4371057,E08000037,2011
1.4436817,3.8191788,E08000021,2011
2.8364358,5.443217,E08000022,2011
4.031468,8.998718,E08000023,2011
1.8415934,3.5062006,E08000024,2011
3.5861442,8.382514,E06000008,2011
4.261268,9.189939,E06000009,2011
1.1280441,2.585959,E06000049,2011
1.234134,2.6001854,E06000050,2011
5.506354,9.719743,E06000006,2011
2.775029,5.415757,E06000007,2011
11.031502,10.079185,E07000026,2011
15.243936,9.444185,E07000027,2011
8.741507,9.631007,E07000028,2011
15.158353,9.490866,E07000029,2011
16.77324,8.443291,E07000030,2011
9.350473,9.579596,E07000031,2011
1.5251797,4.0257154,E08000001,2011
2.7540543,6.346656,E08000002,2011
0.28891215,3.291117,E08000003,2011
2.0551062,5.1278367,E08000004,2011
2.1978436,5.2945395,E08000005,2011
1.8086979,4.3909163,E08000006,2011
1.7861577,3.6499414,E08000007,2011
2.3538172,5.127072,E08000008,2011
1.7847607,4.935718,E08000009,2011
1.2621833,2.6762974,E08000010,2011
13.311569,9.408177,E07000117,2011
8.757441,9.696416,E07000118,2011
14.920671,9.613745,E07000119,2011
13.652513,9.539617,E07000120,2011
4.4165144,9.295729,E07000121,2011
13.178167,9.354977,E07000122,2011
3.7140357,8.610832,E07000123,2011
16.523737,8.669818,E07000124,2011
15.454306,9.307527,E07000125,2011
8.453018,9.491035,E07000126,2011
9.018666,10.337771,E07000127,2011
9.258496,10.286593,E07000128,2011
4.1805115,9.07654,E08000011,2011
0.5144332,3.1465201,E08000012,2011
1.9619505,3.6995354,E08000014,2011
3.524096,6.6679764,E08000013,2011
1.2992527,2.587647,E08000015,2011
1.2494202,2.612962,E06000011,2011
1.8366369,3.9353282,E06000010,2011
3.7580523,8.099685,E06000012,2011
3.5788505,6.805222,E06000013,2011
2.6145604,5.3372602,E06000014,2011
16.663792,8.548452,E07000163,2011
12.672295,10.390199,E07000164,2011
4.201898,7.847959,E07000165,2011
16.709846,8.474428,E07000166,2011
16.726458,8.506957,E07000167,2011
9.102669,10.340257,E07000168,2011
13.234145,10.371782,E07000169,2011
2.2832725,4.38064,E08000016,2011
1.4583743,2.901213,E08000017,2011
2.0589616,3.9582338,E08000018,2011
0.46202368,3.1156049,E08000019,2011
0.3288691,3.3596783,E08000032,2011
2.3923562,5.2948804,E08000033,2011
0.62578666,3.1719043,E08000034,2011
0.355044,3.0762122,E08000035,2011
1.3089167,2.756564,E08000036,2011
1.333204,4.291151,E06000015,2011
0.006899587,4.1094546,E06000016,2011
0.64840627,3.9305842,E06000018,2011
16.538809,8.437067,E06000017,2011
6.632616,9.711815,E07000032,2011
14.832018,9.662411,E07000033,2011
9.726393,10.27338,E07000034,2011
15.187596,9.468645,E07000035,2011
8.203168,9.903795,E07000036,2011
11.668256,10.090287,E07000037,2011
10.789155,10.128101,E07000038,2011
11.61636,9.914865,E07000039,2011
12.158487,9.486223,E07000129,2011
2.9662077,6.7435007,E07000130,2011
13.204893,10.154861,E07000131,2011
8.648231,9.475027,E07000132,2011
16.613752,8.582768,E07000133,2011
11.543955,10.09157,E07000134,2011
16.17043,8.84926,E07000135,2011
15.747315,9.181654,E07000136,2011
4.7881575,9.446144,E07000137,2011
10.849249,10.47953,E07000138,2011
8.895819,9.61441,E07000139,2011
12.450683,10.512198,E07000140,2011
5.7288413,9.237116,E07000141,2011
12.064837,10.464249,E07000142,2011
15.962338,9.111816,E07000150,2011
13.78534,9.999122,E07000151,2011
13.001962,10.254235,E07000152,2011
11.893564,9.592883,E07000153,2011
1.7208587,4.9074,E07000154,2011
13.158043,10.153701,E07000155,2011
13.253797,9.286037,E07000156,2011
6.681332,9.989759,E07000170,2011
8.573693,10.281617,E07000171,2011
7.8282986,9.140382,E07000172,2011
7.6214385,9.019146,E07000173,2011
9.616679,10.269909,E07000174,2011
8.232745,10.141254,E07000175,2011
7.7947297,9.118849,E07000176,2011
3.4502358,6.6554375,E06000019,2011
1.3466591,2.6466615,E06000051,2011
1.7583007,4.14527,E06000021,2011
3.0570025,6.736778,E06000020,2011
10.691474,10.241573,E07000192,2011
7.866406,9.1791525,E07000193,2011
10.4913435,9.989299,E07000194,2011
5.7620153,9.845834,E07000195,2011
8.34707,9.703771,E07000196,2011
5.535825,9.424581,E07000197,2011
10.89181,10.027635,E07000198,2011
13.80196,10.000823,E07000199,2011
15.830502,9.119952,E07000218,2011
5.8649416,9.725899,E07000219,2011
11.950348,9.255817,E07000220,2011
6.9780335,9.569149,E07000221,2011
4.8904366,7.936949,E07000222,2011
0.16981478,3.2162857,E08000025,2011
0.7134461,3.7799597,E08000026,2011
1.3186644,3.2311158,E08000027,2011
0.5246629,4.108671,E08000028,2011
2.204913,5.3706117,E08000029,2011
1.2988361,4.134326,E08000030,2011
0.49971274,4.494131,E08000031,2011
11.731899,9.829162,E07000234,2011
14.9687195,9.581397,E07000235,2011
13.0266285,9.540332,E07000236,2011
10.273297,10.119656,E07000237,2011
7.3543797,9.722275,E07000238,2011
11.054492,10.155798,E07000239,2011
2.2612925,6.6733656,E06000055,2011
1.995819,3.9028878,E06000056,2011
0.83134925,5.097013,E06000032,2011
2.307558,6.367859,E06000031,2011
2.8722832,6.618259,E06000033,2011
2.8072958,6.787682,E06000034,2011
3.719939,8.572353,E07000008,2011
13.279764,10.064887,E07000009,2011
11.409983,10.299617,E07000010,2011
3.2611406,7.0211864,E07000011,2011
4.6496887,7.9040375,E07000012,2011
2.9973462,6.79727,E07000066,2011
4.5754976,8.184549,E07000067,2011
14.4301605,9.690979,E07000068,2011
12.233452,10.474562,E07000069,2011
3.1788182,7.027079,E07000070,2011
2.8647394,6.4387665,E07000071,2011
5.6756687,8.067427,E07000072,2011
13.029607,9.398366,E07000073,2011
15.810182,9.197281,E07000074,2011
13.392737,10.342555,E07000075,2011
4.915034,9.499762,E07000076,2011
13.63739,10.098012,E07000077,2011
12.143771,9.060182,E07000095,2011
4.90073,7.8213673,E07000096,2011
5.1266,8.354095,E07000242,2011
12.031252,8.750864,E07000098,2011
5.4744587,7.9406238,E07000099,2011
5.1650896,7.798614,E07000240,2011
12.884847,9.276186,E07000243,2011
12.890953,9.287559,E07000102,2011
12.131024,8.700416,E07000103,2011
11.859516,8.540032,E07000241,2011
5.849223,9.4309435,E07000143,2011
6.668995,9.614159,E07000144,2011
11.111361,10.505019,E07000145,2011
4.6277227,8.732916,E07000146,2011
10.842753,10.126572,E07000147,2011
3.9032843,8.780037,E07000148,2011
6.721676,9.590605,E07000149,2011
12.861613,10.462455,E07000200,2011
16.036047,8.88914,E07000201,2011
5.0979085,7.8651614,E07000202,2011
11.456568,9.961752,E07000203,2011
8.296292,9.45373,E07000204,2011
6.652357,9.648799,E07000205,2011
8.823604,10.411929,E07000206,2011
