"date","geography","geography code","Rural Urban","Sex: All persons; Economic Activity: All usual residents aged 16 to 74; measures: Value","Sex: All persons; Economic Activity: Economically active; measures: Value","Sex: All persons; Economic Activity: Economically active: In employment; measures: Value","Sex: All persons; Economic Activity: Economically active: Employee: Part-time; measures: Value","Sex: All persons; Economic Activity: Economically active: Employee: Full-time; measures: Value","Sex: All persons; Economic Activity: Economically active: Self-employed; measures: Value","Sex: All persons; Economic Activity: Economically active: Unemployed; measures: Value","Sex: All persons; Economic Activity: Economically active: Full-time student; measures: Value","Sex: All persons; Economic Activity: Economically Inactive; measures: Value","Sex: All persons; Economic Activity: Economically inactive: Retired; measures: Value","Sex: All persons; Economic Activity: Economically inactive: Student (including full-time students); measures: Value","Sex: All persons; Economic Activity: Economically inactive: Looking after home or family; measures: Value","Sex: All persons; Economic Activity: Economically inactive: Long-term sick or disabled; measures: Value","Sex: All persons; Economic Activity: Economically inactive: Other; measures: Value","Sex: All persons; Economic Activity: Unemployed: Age 16 to 24; measures: Value","Sex: All persons; Economic Activity: Unemployed: Age 50 to 74; measures: Value","Sex: All persons; Economic Activity: Unemployed: Never worked; measures: Value","Sex: All persons; Economic Activity: Long-term unemployed; measures: Value","Sex: Males; Economic Activity: All usual residents aged 16 to 74; measures: Value","Sex: Males; Economic Activity: Economically active; measures: Value","Sex: Males; Economic Activity: Economically active: In employment; measures: Value","Sex: Males; Economic Activity: Economically active: Employee: Part-time; measures: Value","Sex: Males; Economic Activity: Economically active: Employee: Full-time; measures: Value","Sex: Males; Economic Activity: Economically active: Self-employed; measures: Value","Sex: Males; Economic Activity: Economically active: Unemployed; measures: Value","Sex: Males; Economic Activity: Economically active: Full-time student; measures: Value","Sex: Males; Economic Activity: Economically Inactive; measures: Value","Sex: Males; Economic Activity: Economically inactive: Retired; measures: Value","Sex: Males; Economic Activity: Economically inactive: Student (including full-time students); measures: Value","Sex: Males; Economic Activity: Economically inactive: Looking after home or family; measures: Value","Sex: Males; Economic Activity: Economically inactive: Long-term sick or disabled; measures: Value","Sex: Males; Economic Activity: Economically inactive: Other; measures: Value","Sex: Males; Economic Activity: Unemployed: Age 16 to 24; measures: Value","Sex: Males; Economic Activity: Unemployed: Age 50 to 74; measures: Value","Sex: Males; Economic Activity: Unemployed: Never worked; measures: Value","Sex: Males; Economic Activity: Long-term unemployed; measures: Value","Sex: Females; Economic Activity: All usual residents aged 16 to 74; measures: Value","Sex: Females; Economic Activity: Economically active; measures: Value","Sex: Females; Economic Activity: Economically active: In employment; measures: Value","Sex: Females; Economic Activity: Economically active: Employee: Part-time; measures: Value","Sex: Females; Economic Activity: Economically active: Employee: Full-time; measures: Value","Sex: Females; Economic Activity: Economically active: Self-employed; measures: Value","Sex: Females; Economic Activity: Economically active: Unemployed; measures: Value","Sex: Females; Economic Activity: Economically active: Full-time student; measures: Value","Sex: Females; Economic Activity: Economically Inactive; measures: Value","Sex: Females; Economic Activity: Economically inactive: Retired; measures: Value","Sex: Females; Economic Activity: Economically inactive: Student (including full-time students); measures: Value","Sex: Females; Economic Activity: Economically inactive: Looking after home or family; measures: Value","Sex: Females; Economic Activity: Economically inactive: Long-term sick or disabled; measures: Value","Sex: Females; Economic Activity: Economically inactive: Other; measures: Value","Sex: Females; Economic Activity: Unemployed: Age 16 to 24; measures: Value","Sex: Females; Economic Activity: Unemployed: Age 50 to 74; measures: Value","Sex: Females; Economic Activity: Unemployed: Never worked; measures: Value","Sex: Females; Economic Activity: Long-term unemployed; measures: Value"
"2011","Darlington","E06000005","Total",76635,53443,47487,11555,30337,5595,4002,1954,23192,12214,2742,3081,3737,1418,1260,724,629,1613,37750,27913,24665,2380,18336,3949,2427,821,9837,5385,1406,343,2080,623,820,457,385,900,38885,25530,22822,9175,12001,1646,1575,1133,13355,6829,1336,2738,1657,795,440,267,244,713
"2011","County Durham","E06000047","Total",383796,247101,219826,50595,143922,25309,17013,10262,136695,65444,23837,14190,24887,8337,5615,2917,2989,6724,189631,129926,114999,10530,86456,18013,10397,4530,59705,28217,11944,1916,13423,4205,3511,1954,1774,3915,194165,117175,104827,40065,57466,7296,6616,5732,76990,37227,11893,12274,11464,4132,2104,963,1215,2809
"2011","Hartlepool","E06000001","Total",66804,43513,36532,10092,22635,3805,5194,1787,23291,10621,3042,3265,4733,1630,1586,859,969,2089,32681,23108,19018,2012,14169,2837,3321,769,9573,4451,1517,437,2501,667,1017,640,571,1255,34123,20405,17514,8080,8466,968,1873,1018,13718,6170,1525,2828,2232,963,569,219,398,834
"2011","Middlesbrough","E06000002","Total",100551,63582,51535,15063,31301,5171,7631,4416,36969,13922,7453,5569,6841,3184,2296,1273,1709,3070,49680,33801,26840,3476,19443,3921,4870,2091,15879,6179,4198,626,3517,1359,1465,938,999,1878,50871,29781,24695,11587,11858,1250,2761,2325,21090,7743,3255,4943,3324,1825,831,335,710,1192
"2011","Northumberland","E06000057","Total",233224,158268,142811,34368,86380,22063,10329,5128,74956,43897,8108,8368,10321,4262,3102,2077,1535,4028,114193,82645,74197,6980,52097,15120,6277,2171,31548,18845,4066,894,5578,2165,1955,1369,911,2291,119031,75623,68614,27388,34283,6943,4052,2957,43408,25052,4042,7474,4743,2097,1147,708,624,1737
"2011","Redcar and Cleveland","E06000003","Total",99177,63530,54558,15322,33372,5864,6533,2439,35647,19206,4142,4361,5869,2069,2052,1204,1225,2692,48311,33180,28037,2834,21058,4145,4150,993,15131,8728,2110,457,2979,857,1310,869,686,1666,50866,30350,26521,12488,12314,1719,2383,1446,20516,10478,2032,3904,2890,1212,742,335,539,1026
"2011","Stockton-on-Tees","E06000004","Total",140654,96259,83938,22070,52927,8941,8075,4246,44395,20767,7277,5911,6861,3579,2431,1413,1464,3345,69407,50595,43579,4421,32670,6488,5146,1870,18812,8914,3811,624,3512,1951,1531,1041,876,2051,71247,45664,40359,17649,20257,2453,2929,2376,25583,11853,3466,5287,3349,1628,900,372,588,1294
"2011","Gateshead","E08000037","Total",148079,100184,88817,21023,58988,8806,7419,3948,47895,23531,6832,5670,8844,3018,2157,1254,1235,2916,73080,52413,46106,4508,35193,6405,4645,1662,20667,10161,3555,732,4866,1353,1360,866,758,1739,74999,47771,42711,16515,23795,2401,2774,2286,27228,13370,3277,4938,3978,1665,797,388,477,1177
"2011","Newcastle upon Tyne","E08000021","Total",212864,133848,108778,25835,69811,13132,10652,14418,79016,24571,29253,8868,11509,4815,2969,1788,2236,4119,107982,71558,57814,7072,41159,9583,6787,6957,36424,10566,16026,1149,6502,2181,1876,1282,1308,2558,104882,62290,50964,18763,28652,3549,3865,7461,42592,14005,13227,7719,5007,2634,1093,506,928,1561
"2011","North Tyneside","E08000022","Total",147889,104242,92799,21815,61349,9635,7304,4139,43647,23497,5310,5048,7354,2438,1924,1505,1039,2965,71826,53906,47513,4515,36087,6911,4617,1776,17920,9787,2633,553,3904,1043,1194,1063,615,1779,76063,50336,45286,17300,25262,2724,2687,2363,25727,13710,2677,4495,3450,1395,730,442,424,1186
